"","doc_type","sdm_type","tot_doc_type","n_doc","prop_doc"
"1","COSEWIC Status Reports","No SDMs",466,424,0.91
"2","COSEWIC Status Reports","SDM w/out CC",466,25,0.054
"3","COSEWIC Status Reports","CC-SDM",466,14,0.03
"4","COSEWIC Status Reports","CC-SDM & SDM w/out CC",466,3,0.006
"5","Management Plans","No SDMs",92,85,0.924
"6","Management Plans","SDM w/out CC",92,3,0.033
"7","Management Plans","CC-SDM",92,3,0.033
"8","Management Plans","CC-SDM & SDM w/out CC",92,1,0.011
"9","Recovery Strategies","No SDMs",302,279,0.924
"10","Recovery Strategies","SDM w/out CC",302,18,0.06
"11","Recovery Strategies","CC-SDM",302,1,0.003
"12","Recovery Strategies","CC-SDM & SDM w/out CC",302,4,0.013
